#   Bstar cross-section for 13 TeV for f = 0.1
#   (GeV)    (pb)
Mass Bstar_f0p1   Bstar_f0p1_Eff
1000 2.175e-03   0.288132
1100 1.319e-03   0.287057
1200 8.166e-04   0.285983
1300 5.173e-04   0.284908
1400 3.429e-04   0.283833
1500 2.278e-04   0.282758
1600 1.535e-04   0.278858
1700 1.065e-04   0.274957
1800 7.351e-05   0.271056
1900 5.189e-05   0.267156
2000 3.674e-05   0.263255
2100 2.670e-05   0.259232
2200 1.924e-05   0.255209
2300 1.406e-05   0.251187
2400 1.034e-05   0.247164
2500 7.595e-06   0.243141
2600 5.615e-06   0.24054 
2700 4.180e-06   0.23794 
2800 3.129e-06   0.235339
2900 2.336e-06   0.232738
3000 1.768e-06   0.230137
3100 1.347e-06   0.227831
3200 1.007e-06   0.225525
3300 7.663e-07   0.223218
3400 5.843e-07   0.220912
3500 4.454e-07   0.218606
3600 3.411e-07   0.217749
3700 2.583e-07   0.216892
3800 1.972e-07   0.216036
3900 1.509e-07   0.215179
4000 1.155e-07   0.214323
4100 8.864e-08   0.213383
4200 6.720e-08   0.212443
4300 5.165e-08   0.211503
4400 3.950e-08   0.210563
4500 3.031e-08   0.209623
4600 2.275e-08   0.209419
4700 1.746e-08   0.209216
4800 1.345e-08   0.209012
4900 1.011e-08   0.208808
5000 7.703e-09   0.208604
