#   Bstar cross-section for 13 TeV for f = 0.5
#   (GeV)    (pb)
Mass Bstar_f0p5 Bstar_f0p5_Eff
1000 3.496e-02   0.291322
1100 2.085e-02   0.289524
1200 1.304e-02   0.287726
1300 8.297e-03   0.285928
1400 5.388e-03   0.28413 
1500 3.607e-03   0.282332
1600 2.451e-03   0.278623
1700 1.690e-03   0.274915
1800 1.172e-03   0.271206
1900 8.308e-04   0.267497
2000 5.847e-04   0.263789
2100 4.229e-04   0.259311
2200 3.034e-04   0.254834
2300 2.222e-04   0.250356
2400 1.640e-04   0.245878
2500 1.210e-04   0.241401
2600 8.986e-05   0.238117
2700 6.735e-05   0.234833
2800 5.010e-05   0.23155 
2900 3.735e-05   0.228266
3000 2.812e-05   0.224982
3100 2.133e-05   0.223929
3200 1.618e-05   0.222875
3300 1.226e-05   0.221822
3400 9.349e-06   0.220769
3500 7.116e-06   0.219716
3600 5.479e-06   0.218153
3700 4.181e-06   0.216591
3800 3.198e-06   0.215028
3900 2.404e-06   0.213466
4000 1.878e-06   0.211903
4100 1.414e-06   0.211339
4200 1.080e-06   0.210776
4300 8.349e-07   0.210212
4400 6.366e-07   0.209648
4500 4.885e-07   0.209084
4600 3.699e-07   0.209754
4700 2.850e-07   0.210424
4800 2.200e-07   0.211094
4900 1.668e-07   0.211764
5000 1.277e-07   0.212434
