#   Bstar efficiencies for 13 TeV for f = 0.5
Mass   Bstar_f0p5
1000    0.291322
1050    0.290423
1100    0.289524
1150    0.288625
1200    0.287726
1250    0.286827
1300    0.285928
1350    0.285029
1400    0.28413
1450    0.283231
1500    0.282332
1550    0.280478
1600    0.278623
1650    0.276769
1700    0.274915
1750    0.27306
1800    0.271206
1850    0.269352
1900    0.267497
1950    0.265643
2000    0.263789
2050    0.26155
2100    0.259311
2150    0.257072
2200    0.254834
2250    0.252595
2300    0.250356
2350    0.248117
2400    0.245878
2450    0.24364
2500    0.241401
2550    0.239759
2600    0.238117
2650    0.236475
2700    0.234833
2750    0.233191
2800    0.23155
2850    0.229908
2900    0.228266
2950    0.226624
3000    0.224982
3050    0.224455
3100    0.223929
3150    0.223402
3200    0.222875
3250    0.222349
3300    0.221822
3350    0.221296
3400    0.220769
3450    0.220242
3500    0.219716
3550    0.218934
3600    0.218153
3650    0.217372
3700    0.216591
3750    0.21581
3800    0.215028
3850    0.214247
3900    0.213466
3950    0.212685
4000    0.211903
4050    0.211621
4100    0.211339
4150    0.211057
4200    0.210776
4250    0.210494
4300    0.210212
4350    0.20993
4400    0.209648
4450    0.209366
4500    0.209084
4550    0.209419
4600    0.209754
4650    0.210089
4700    0.210424
4750    0.210759
4800    0.211094
4850    0.211429
4900    0.211764
4950    0.212099
5000    0.212434
