#   Qstar cross-section for 13 TeV for f = 1.0 at interval of 50 GeV
#(GeV)   (pb)
Mass Qstar_f1p0
1000  1.635e+01  
1050  1.307e+01  
1100  1.068e+01  
1150  8.636e+00  
1200  7.036e+00  
1250  5.801e+00  
1300  4.827e+00  
1350  3.979e+00  
1400  3.363e+00  
1450  2.799e+00  
1500  2.373e+00  
1550  2.024e+00  
1600  1.709e+00  
1650  1.467e+00  
1700  1.243e+00  
1750  1.066e+00  
1800  9.292e-01  
1850  7.949e-01  
1900  6.885e-01  
1950  5.937e-01  
2000  5.244e-01  
2050  4.471e-01  
2100  3.951e-01  
2150  3.450e-01  
2200  3.010e-01  
2250  2.659e-01  
2300  2.322e-01  
2350  2.051e-01  
2400  1.805e-01  
2450  1.582e-01  
2500  1.402e-01  
2550  1.236e-01  
2600  1.099e-01  
2650  9.711e-02  
2700  8.650e-02  
2750  7.670e-02  
2800  6.787e-02  
2850  6.093e-02  
2900  5.372e-02  
2950  4.790e-02  
3000  4.273e-02  
3050  3.781e-02  
3100  3.391e-02  
3150  3.058e-02  
3200  2.720e-02  
3250  2.412e-02  
3300  2.186e-02  
3350  1.945e-02  
3400  1.744e-02  
3450  1.542e-02  
3500  1.417e-02  
3550  1.255e-02  
3600  1.126e-02  
3650  1.014e-02  
3700  9.062e-03  
3750  8.230e-03  
3800  7.276e-03  
3850  6.623e-03  
3900  5.911e-03  
3950  5.294e-03  
4000  4.814e-03  
4050  4.309e-03  
4100  3.870e-03  
4150  3.490e-03  
4200  3.156e-03  
4250  2.821e-03  
4300  2.554e-03  
4350  2.276e-03  
4400  2.057e-03  
4450  1.866e-03  
4500  1.656e-03  
4550  1.501e-03  
4600  1.354e-03  
4650  1.213e-03  
4700  1.089e-03  
4750  9.782e-04  
4800  8.813e-04  
4850  7.969e-04  
4900  7.214e-04  
4950  6.426e-04  
5000  5.836e-04  
5050  5.244e-04  
5100  4.734e-04  
5150  4.233e-04  
5200  3.807e-04  
5250  3.446e-04  
5300  3.108e-04  
5350  2.797e-04  
5400  2.517e-04  
5450  2.270e-04 
5500  2.051e-04 
5550  1.821e-04 
5600  1.650e-04 
5650  1.486e-04 
5700  1.339e-04 
5750  1.205e-04 
5800  1.072e-04 
5850  9.735e-05 
5900  8.685e-05 
5950  7.859e-05 
6000  7.085e-05 
