*************************************************************************
*************************************************************************

Mass    Eff
1000    0.571014
1100    0.582796
1200    0.594578
1300    0.60636
1400    0.618142
1500    0.629924
1600    0.641707
1700    0.653489
1800    0.665271
1900    0.677053
2000    0.688835
2100    0.691038
2200    0.69324
2300    0.695443
2400    0.697645
2500    0.699848
2600    0.70205
2700    0.704253
2800    0.706455
2900    0.708658
3000    0.71086
3100    0.711162
3200    0.711464
3300    0.711766
3400    0.712068
3500    0.71237
3600    0.712672
3700    0.712974
3800    0.713276
3900    0.713578
4000    0.71388
4100    0.714475
4200    0.71507
4300    0.715665
4400    0.716259
4500    0.716854
4600    0.717449
4700    0.718044
4800    0.718639
4900    0.719233
5000    0.719828
5100    0.719085
5200    0.718342
5300    0.717599
5400    0.716856
5500    0.716113
5600    0.71537
5700    0.714628
5800    0.713885
5900    0.713142
6000    0.712399

*************************************************************************

