*************************************************************************
*************************************************************************

Mass    Eff
1000    0.506841
1100    0.517047
1200    0.527253
1300    0.537459
1400    0.547665
1500    0.55787
1600    0.568076
1700    0.578282
1800    0.588488
1900    0.598694
2000    0.608899
2100    0.611761
2200    0.614623
2300    0.617485
2400    0.620347
2500    0.623209
2600    0.62607
2700    0.628932
2800    0.631794
2900    0.634656
3000    0.637518
3100    0.638351
3200    0.639183
3300    0.640016
3400    0.640849
3500    0.641682
3600    0.642515
3700    0.643348
3800    0.644181
3900    0.645014
4000    0.645846
4100    0.646487
4200    0.647127
4300    0.647768
4400    0.648408
4500    0.649049
4600    0.649689
4700    0.65033
4800    0.65097
4900    0.651611
5000    0.652251
5100    0.651115
5200    0.649978
5300    0.648841
5400    0.647705
5500    0.646568
5600    0.645431
5700    0.644295
5800    0.643158
5900    0.642021
6000    0.640885
6100    0.638744
6200    0.636603
6300    0.634461
6400    0.63232
6500    0.630179
6600    0.628038
6700    0.625897
6800    0.623756
6900    0.621615
7000    0.619474
7100    0.618281
7200    0.617089
7300    0.615897
7400    0.614704
7500    0.613512
7600    0.61232
7700    0.611127
7800    0.609935
7900    0.608743
6.95285e-310    0.60755

*************************************************************************

