*************************************************************************
*************************************************************************

Mass    Eff
500    0.184337
600    0.205096
700    0.225855
800    0.246614
900    0.267373
1000    0.288132
1100    0.287057
1200    0.285983
1300    0.284908
1400    0.283833
1500    0.282758
1600    0.278858
1700    0.274957
1800    0.271056
1900    0.267156
2000    0.263255
2100    0.259232
2200    0.255209
2300    0.251187
2400    0.247164
2500    0.243141
2600    0.24054
2700    0.23794
2800    0.235339
2900    0.232738
3000    0.230137
3100    0.227831
3200    0.225525
3300    0.223218
3400    0.220912
3500    0.218606
3600    0.217749
3700    0.216892
3800    0.216036
3900    0.215179
4000    0.214323
4100    0.213383
4200    0.212443
4300    0.211503
4400    0.210563
4500    0.209623
4600    0.209419
4700    0.209216
4800    0.209012
4900    0.208808
5000    0.208604
