*************************************************************************
*************************************************************************

Mass    Eff
500    0.185651
550    0.196097
600    0.206543
650    0.216989
700    0.227435
750    0.237881
800    0.248327
850    0.258773
900    0.269219
950    0.279665
1000    0.290111
1050    0.289094
1100    0.288076
1150    0.287059
1200    0.286042
1250    0.285024
1300    0.284007
1350    0.282989
1400    0.281972
1450    0.280954
1500    0.279937
1550    0.278277
1600    0.276618
1650    0.274958
1700    0.273298
1750    0.271639
1800    0.269979
1850    0.268319
1900    0.26666
1950    0.265
2000    0.26334
2050    0.261363
2100    0.259386
2150    0.257409
2200    0.255432
2250    0.253455
2300    0.251478
2350    0.249501
2400    0.247524
2450    0.245546
2500    0.243569
2550    0.241986
2600    0.240403
2650    0.238821
2700    0.237238
2750    0.235655
2800    0.234072
2850    0.232489
2900    0.230906
2950    0.229323
3000    0.22774
3050    0.227138
3100    0.226535
3150    0.225933
3200    0.22533
3250    0.224728
3300    0.224125
3350    0.223522
3400    0.22292
3450    0.222317
3500    0.221715
3550    0.221256
3600    0.220797
3650    0.220338
3700    0.21988
3750    0.219421
3800    0.218962
3850    0.218503
3900    0.218044
3950    0.217585
4000    0.217127
4050    0.216947
4100    0.216768
4150    0.216589
4200    0.21641
4250    0.21623
4300    0.216051
4350    0.215872
4400    0.215693
4450    0.215513
4500    0.215334
4550    0.21538
4600    0.215426
4650    0.215473
4700    0.215519
4750    0.215565
4800    0.215611
4850    0.215657
4900    0.215704
4950    0.21575
5000    0.215796
