*************************************************************************
*************************************************************************

Mass    Eff
1000    0.397222
1100    0.402547
1200    0.407871
1300    0.413196
1400    0.41852
1500    0.423845
1600    0.429169
1700    0.434494
1800    0.439818
1900    0.445143
2000    0.450467
2100    0.45171
2200    0.452952
2300    0.454195
2400    0.455437
2500    0.45668
2600    0.457922
2700    0.459165
2800    0.460407
2900    0.46165
3000    0.462892
3100    0.462899
3200    0.462905
3300    0.462911
3400    0.462918
3500    0.462924
3600    0.462931
3700    0.462937
3800    0.462943
3900    0.46295
4000    0.462956
4100    0.4632
4200    0.463444
4300    0.463687
4400    0.463931
4500    0.464175
4600    0.464419
4700    0.464662
4800    0.464906
4900    0.46515
5000    0.465394
5100    0.464291
5200    0.463189
5300    0.462086
5400    0.460984
5500    0.459881
5600    0.458779
5700    0.457676
5800    0.456574
5900    0.455471
6000    0.454369
6100    0.453116
6200    0.451864
6300    0.450612
6400    0.44936
6500    0.448108
6600    0.446856
6700    0.445604
6800    0.444351
6900    0.443099
7000    0.441847

*************************************************************************

