#   Bstar cross-section for 13 TeV for f = 1.0 at interval of 50 GeV and eff for given cut
#(GeV)   (pb)
Mass Bstar_f1p0_CSVL  Qstar_f1p0_Eff
1000  2.148e-01        0.365456
1100  1.286e-01        0.36523 	   
1200  7.982e-02        0.365005	   
1300  5.043e-02        0.364779	   
1400  3.314e-02        0.364553	   
1500  2.204e-02        0.364327	   
1600  1.501e-02        0.360981	   
1700  1.026e-02        0.357635	   
1800  7.191e-03        0.354289	   
1900  5.034e-03        0.350942	   
2000  3.585e-03        0.347596	   
2100  2.592e-03        0.342038	   
2200  1.865e-03        0.33648 	   
2300  1.366e-03        0.330922	   
2400  1.000e-03        0.325363	   
2500  7.488e-04        0.319805	   
2600  5.524e-04        0.315335	   
2700  4.116e-04	       0.310865	   
2800  3.058e-04        0.306395	   
2900  2.337e-04        0.301925	   
3000  1.766e-04        0.297455	   
3100  1.326e-04        0.295604	   
3200  1.013e-04        0.293754	   
3300  7.705e-05        0.291903	   
3400  5.879e-05        0.290052	   
3500  4.517e-05        0.288201	   
3600  3.442e-05        0.287146	   
3700  2.646e-05        0.286091	   
3800  2.011e-05        0.285036	   
3900  1.566e-05        0.28398 	   
4000  1.202e-05        0.282925	   
4100  9.259e-06        0.282289	   
4200  7.101e-06        0.281653	   
4300  5.442e-06        0.281017	   
4400  4.238e-06        0.280381	   
4500  3.289e-06        0.279745	   
4600  2.545e-06        0.279399	   
4700  1.974e-06        0.279052	   
4800  1.528e-06        0.278706	   
4900  1.182e-06        0.278359	   
5000  9.216e-07        0.278013	   
