#   Bstar cross-section for 13 TeV for f = 1.0 at interval of 50 GeV and eff for given cut
#(GeV)   (pb)
Mass Bstar_f1p0  Qstar_f1p0_Eff
1000  2.148e-01        0.221973 
1100  1.286e-01        0.214671 	   
1200  7.982e-02        0.207369 	   
1300  5.043e-02        0.200067 	   
1400  3.314e-02        0.192764 	   
1500  2.204e-02        0.185462 	   
1600  1.501e-02        0.178928 	   
1700  1.026e-02        0.172395 	   
1800  7.191e-03        0.165861 	   
1900  5.034e-03        0.159327 	   
2000  3.585e-03        0.152794 	   
2100  2.592e-03        0.147969 	   
2200  1.865e-03        0.143144 	   
2300  1.366e-03        0.13832  	   
2400  1.000e-03        0.133495 	   
2500  7.488e-04        0.12867  	   
2600  5.524e-04        0.125854 	   
2700  4.116e-04	       0.123038 	   
2800  3.058e-04        0.120222 	   
2900  2.337e-04        0.117405 	   
3000  1.766e-04        0.114589 	   
3100  1.326e-04        0.112846 	   
3200  1.013e-04        0.111104 	   
3300  7.705e-05        0.109361 	   
3400  5.879e-05        0.107618 	   
3500  4.517e-05        0.105875 	   
3600  3.442e-05        0.105452 	   
3700  2.646e-05        0.105029 	   
3800  2.011e-05        0.104606 	   
3900  1.566e-05        0.104183 	   
4000  1.202e-05        0.103759 	   
4100  9.259e-06        0.10267  	   
4200  7.101e-06        0.101581 	   
4300  5.442e-06        0.100491 	   
4400  4.238e-06        0.0994018	   
4500  3.289e-06        0.0983124	   
4600  2.545e-06        0.0984852	   
4700  1.974e-06        0.0986581	   
4800  1.528e-06        0.0988309	   
4900  1.182e-06        0.0990037	   
5000  9.216e-07        0.0991766	   
