*************************************************************************
for DPhi_Opti/ ===>>>>> DPhi_1.5/
*************************************************************************

Mass    Eff
500    0.256907
600    0.305893
700    0.354879
800    0.403865
900    0.452852
1000    0.501838
1100    0.50978
1200    0.517723
1300    0.525666
1400    0.533608
1500    0.541551
1600    0.549493
1700    0.557436
1800    0.565378
1900    0.573321
2000    0.581264
2100    0.583065
2200    0.584867
2300    0.586669
2400    0.588471
2500    0.590272
2600    0.592074
2700    0.593876
2800    0.595677
2900    0.597479
3000    0.599281
3100    0.599134
3200    0.598987
3300    0.59884
3400    0.598693
3500    0.598546
3600    0.598399
3700    0.598252
3800    0.598105
3900    0.597958
4000    0.597811
4100    0.597793
4200    0.597775
4300    0.597757
4400    0.597739
4500    0.597721
4600    0.597704
4700    0.597686
4800    0.597668
4900    0.59765
5000    0.597632
5100    0.596524
5200    0.595415
5300    0.594306
5400    0.593197
5500    0.592088
5600    0.59098
5700    0.589871
5800    0.588762
5900    0.587653
6000    0.586544
6100    0.584205
6200    0.581865
6300    0.579526
6400    0.577187
6500    0.574847
6600    0.572508
6700    0.570168
6800    0.567829
6900    0.565489
7000    0.56315
7100    0.561607
7200    0.560065
7300    0.558522
7400    0.556979
7500    0.555437
7600    0.553894
7700    0.552352
7800    0.550809
7900    0.549266
8000    0.547724
8100    0.549949
8200    0.552175
8300    0.5544
8400    0.556626
8500    0.558851
8600    0.561077
8700    0.563302
8800    0.565528
8900    0.567753
9000    0.569978

*************************************************************************

*************************************************************************
for DPhi_Opti/ ===>>>>> DPhi_2.0/
*************************************************************************

Mass    Eff
500    0.25234
600    0.300947
700    0.349554
800    0.398161
900    0.446768
1000    0.495375
1100    0.503647
1200    0.51192
1300    0.520192
1400    0.528464
1500    0.536737
1600    0.545009
1700    0.553282
1800    0.561554
1900    0.569827
2000    0.578099
2100    0.580029
2200    0.58196
2300    0.58389
2400    0.58582
2500    0.58775
2600    0.589681
2700    0.591611
2800    0.593541
2900    0.595471
3000    0.597402
3100    0.597352
3200    0.597303
3300    0.597253
3400    0.597204
3500    0.597154
3600    0.597105
3700    0.597055
3800    0.597006
3900    0.596956
4000    0.596907
4100    0.596911
4200    0.596915
4300    0.59692
4400    0.596924
4500    0.596929
4600    0.596933
4700    0.596937
4800    0.596942
4900    0.596946
5000    0.596951
5100    0.595846
5200    0.594741
5300    0.593637
5400    0.592532
5500    0.591428
5600    0.590323
5700    0.589218
5800    0.588114
5900    0.587009
6000    0.585904
6100    0.583538
6200    0.581171
6300    0.578804
6400    0.576437
6500    0.574071
6600    0.571704
6700    0.569337
6800    0.566971
6900    0.564604
7000    0.562237
7100    0.56071
7200    0.559183
7300    0.557656
7400    0.556129
7500    0.554601
7600    0.553074
7700    0.551547
7800    0.55002
7900    0.548493
8000    0.546966
8100    0.549123
8200    0.551281
8300    0.553438
8400    0.555596
8500    0.557754
8600    0.559911
8700    0.562069
8800    0.564227
8900    0.566384
9000    0.568542

*************************************************************************

*************************************************************************
for DPhi_Opti/ ===>>>>> DPhi_2.5/
*************************************************************************

Mass    Eff
500    0.2321
600    0.278337
700    0.324574
800    0.370811
900    0.417048
1000    0.463286
1100    0.472615
1200    0.481945
1300    0.491275
1400    0.500605
1500    0.509935
1600    0.519265
1700    0.528594
1800    0.537924
1900    0.547254
2000    0.556584
2100    0.559281
2200    0.561977
2300    0.564674
2400    0.567371
2500    0.570068
2600    0.572765
2700    0.575461
