*************************************************************************
for PhId_Opti/ ===>>>>> PhId_Loose/
*************************************************************************

Mass    Eff
500    0.256907
600    0.305893
700    0.354879
800    0.403865
900    0.452852
1000    0.501838
1100    0.50978
1200    0.517723
1300    0.525666
1400    0.533608
1500    0.541551
1600    0.549493
1700    0.557436
1800    0.565378
1900    0.573321
2000    0.581264
2100    0.583065
2200    0.584867
2300    0.586669
2400    0.588471
2500    0.590272
2600    0.592074
2700    0.593876
2800    0.595677
2900    0.597479
3000    0.599281
3100    0.599134
3200    0.598987
3300    0.59884
3400    0.598693
3500    0.598546
3600    0.598399
3700    0.598252
3800    0.598105
3900    0.597958
4000    0.597811
4100    0.597793
4200    0.597775
4300    0.597757
4400    0.597739
4500    0.597721
4600    0.597704
4700    0.597686
4800    0.597668
4900    0.59765
5000    0.597632
5100    0.596524
5200    0.595415
5300    0.594306
5400    0.593197
5500    0.592088
5600    0.59098
5700    0.589871
5800    0.588762
5900    0.587653
6000    0.586544
6100    0.584205
6200    0.581865
6300    0.579526
6400    0.577187
6500    0.574847
6600    0.572508
6700    0.570168
6800    0.567829
6900    0.565489
7000    0.56315
7100    0.561607
7200    0.560065
7300    0.558522
7400    0.556979
7500    0.555437
7600    0.553894
7700    0.552352
7800    0.550809
7900    0.549266
8000    0.547724
8100    0.549949
8200    0.552175
8300    0.5544
8400    0.556626
8500    0.558851
8600    0.561077
8700    0.563302
8800    0.565528
8900    0.567753
9000    0.569978

*************************************************************************

*************************************************************************
for PhId_Opti/ ===>>>>> PhId_Medium/
*************************************************************************

Mass    Eff
500    0.229955
600    0.274061
700    0.318167
800    0.362273
900    0.406379
1000    0.450485
1100    0.458009
1200    0.465533
1300    0.473058
1400    0.480582
1500    0.488106
1600    0.49563
1700    0.503154
1800    0.510679
1900    0.518203
2000    0.525727
2100    0.527865
2200    0.530003
2300    0.532141
2400    0.53428
2500    0.536418
2600    0.538556
2700    0.540694
2800    0.542832
2900    0.54497
3000    0.547108
3100    0.547116
3200    0.547124
3300    0.547133
3400    0.547141
3500    0.547149
3600    0.547157
3700    0.547165
3800    0.547173
3900    0.547181
4000    0.547189
4100    0.547424
4200    0.547659
4300    0.547894
4400    0.548129
4500    0.548364
4600    0.548599
4700    0.548835
4800    0.54907
4900    0.549305
5000    0.54954
5100    0.548447
5200    0.547354
5300    0.546261
5400    0.545169
5500    0.544076
5600    0.542983
5700    0.54189
5800    0.540797
5900    0.539704
6000    0.538612
6100    0.536611
6200    0.53461
6300    0.532609
6400    0.530608
6500    0.528607
6600    0.526607
6700    0.524606
6800    0.522605
6900    0.520604
7000    0.518603
7100    0.517465
7200    0.516326
7300    0.515187
7400    0.514048
7500    0.512909
7600    0.51177
7700    0.510631
7800    0.509493
7900    0.508354
8000    0.507215
8100    0.508618
8200    0.51002
8300    0.511423
8400    0.512826
8500    0.514228
8600    0.515631
8700    0.517034
8800    0.518436
8900    0.519839
9000    0.521242

*************************************************************************

*************************************************************************
for PhId_Opti/ ===>>>>> PhId_Tight/
*************************************************************************

Mass    Eff
500    0.202544
600    0.241362
700    0.280181
800    0.318999
900    0.357817
1000    0.396636
1100    0.403517
1200    0.410398
1300    0.417278
1400    0.424159
1500    0.43104
1600    0.437921
1700    0.444802
1800    0.451683
1900    0.458564
2000    0.465445
2100    0.46753
2200    0.469616
2300    0.471701
2400    0.473787
2500    0.475873
2600    0.477958
2700    0.480044
2800    0.48213
2900    0.484215
3000    0.486301
3100    0.486428
3200    0.486555
3300    0.486682
3400    0.48681
3500    0.486937
3600    0.487064
3700    0.487191
3800    0.487318
3900    0.487445
4000    0.487573
4100    0.487757
4200    0.487941
4300    0.488126
4400    0.48831
4500    0.488495
4600    0.488679
4700    0.488863
4800    0.489048
4900    0.489232
5000    0.489416
5100    0.487753
5200    0.486089
5300    0.484426
5400    0.482762
5500    0.481099
5600    0.479435
5700    0.477772
5800    0.476108
5900    0.474445
6000    0.472781
6100    0.470191
6200    0.4676
6300    0.465009
6400    0.462419
6500    0.459828
6600    0.457237
6700    0.454647
6800    0.452056
6900    0.449465
7000    0.446875
7100    0.445901
7200    0.444927
7300    0.443953
7400    0.44298
7500    0.442006
7600    0.441032
7700    0.440059
7800    0.439085
7900    0.438111
8000    0.437138
8100    0.439305
8200    0.441472
8300    0.44364
8400    0.445807
8500    0.447975
8600    0.450142
8700    0.452309
8800    0.454477
8900    0.456644
9000    0.458812

*************************************************************************

