#   Qstar cross-section for 13 TeV for f = 0.3
#   (GeV)    (pb)
Mass   Qstar_f0p5   Qstar_f0p5_Eff
1000 1.485e+00    0.397353
1100 9.758e-01    0.402683
1200 6.363e-01    0.408012
1300 4.373e-01    0.413342
1400 3.095e-01    0.418672
1500 2.172e-01    0.424002
1600 1.565e-01    0.429332
1700 1.142e-01    0.434662
1800 8.533e-02    0.439991
1900 6.345e-02    0.445321
2000 4.800e-02    0.450651
2100 3.649e-02    0.451855
2200 2.772e-02    0.45306 
2300 2.126e-02    0.454264
2400 1.665e-02    0.455468
2500 1.292e-02    0.456673
2600 1.010e-02    0.457877
2700 7.987e-03    0.459081
2800 6.289e-03    0.460286
2900 4.987e-03    0.46149 
3000 3.964e-03    0.462695
3100 3.147e-03    0.462947
3200 2.495e-03    0.4632  
3300 2.002e-03    0.463453
3400 1.599e-03    0.463706
3500 1.292e-03    0.463958
3600 1.038e-03    0.464211
3700 8.221e-04    0.464464
3800 6.671e-04    0.464717
3900 5.420e-04    0.46497 
4000 4.346e-04    0.465222
4100 3.484e-04    0.465529
4200 2.854e-04    0.465836
4300 2.303e-04    0.466143
4400 1.861e-04    0.46645 
4500 1.481e-04    0.466757
4600 1.199e-04    0.467064
4700 9.773e-05    0.467371
4800 7.918e-05    0.467678
4900 6.399e-05    0.467985
5000 5.114e-05    0.468292
