#   Qstar cross-section for 13 TeV for f = 0.8
#   (GeV)    (pb)
Mass   Qstar_f1p0  Qstar_f1p0_Eff
1000 1.051e+01    0.397222 
1100 6.789e+00    0.402547
1200 4.466e+00    0.407871
1300 3.078e+00    0.413196
1400 2.154e+00    0.41852 
1500 1.538e+00    0.423845
1600 1.106e+00    0.429169
1700 8.069e-01    0.434494
1800 5.905e-01    0.439818
1900 4.475e-01    0.445143
2000 3.363e-01    0.450467
2100 2.528e-01    0.45171 
2200 1.954e-01    0.452952
2300 1.485e-01    0.454195
2400 1.154e-01    0.455437
2500 9.041e-02    0.45668 
2600 7.069e-02    0.457922
2700 5.579e-02    0.459165
2800 4.415e-02    0.460407
2900 3.467e-02    0.46165 
3000 2.756e-02    0.462892
3100 2.197e-02    0.462899
3200 1.735e-02    0.462905
3300 1.406e-02    0.462911
3400 1.120e-02    0.462918
3500 8.976e-03    0.462924
3600 7.284e-03    0.462931
3700 5.850e-03    0.462937
3800 4.731e-03    0.462943
3900 3.816e-03    0.46295 
4000 3.083e-03    0.462956
4100 2.478e-03    0.4632  
4200 2.018e-03    0.463444
4300 1.634e-03    0.463687
4400 1.330e-03    0.463931
4500 1.068e-03    0.464175
4600 8.581e-04    0.464419
4700 6.984e-04    0.464662
4800 5.651e-04    0.464906
4900 4.593e-04    0.46515 
5000 3.693e-04    0.465394
