#   Qstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass Qstar_f1p0   Qstar_f1p0_Eff
1000 1.635e+01    0.506841
1100 1.068e+01    0.517047
1200 7.036e+00    0.527253
1300 4.827e+00    0.537459
1400 3.363e+00    0.547665
1500 2.373e+00    0.55787 
1600 1.709e+00    0.568076
1700 1.243e+00    0.578282
1800 9.292e-01    0.588488
1900 6.885e-01    0.598694
2000 5.244e-01    0.608899
2100 3.951e-01    0.611761
2200 3.010e-01    0.614623
2300 2.322e-01    0.617485
2400 1.805e-01    0.620347
2500 1.402e-01    0.623209
2600 1.099e-01    0.62607 
2700 8.650e-02    0.628932
2800 6.787e-02    0.631794
2900 5.372e-02    0.634656
3000 4.273e-02    0.637518
3100 3.391e-02    0.638351
3200 2.720e-02    0.639183
3300 2.186e-02    0.640016
3400 1.744e-02    0.640849
3500 1.417e-02    0.641682
3600 1.126e-02    0.642515
3700 9.062e-03    0.643348
3800 7.276e-03    0.644181
3900 5.911e-03    0.645014
4000 4.814e-03    0.645846
4100 3.870e-03    0.646487
4200 3.156e-03    0.647127
4300 2.554e-03    0.647768
4400 2.057e-03    0.648408
4500 1.656e-03    0.649049
4600 1.354e-03    0.649689
4700 1.089e-03    0.65033 
4800 8.813e-04    0.65097 
4900 7.214e-04    0.651611
5000 5.836e-04    0.652251
5100 4.734e-04    0.651115
5200 3.807e-04    0.649978
5300 3.108e-04    0.648841
5400 2.517e-04    0.647705
5500 2.051e-04    0.646568
5600 1.650e-04    0.645431
5700 1.339e-04 	  0.644295
5800 1.072e-04 	  0.643158
5900 8.685e-05 	  0.642021
6000 7.085e-05 	  0.640885
