#   Bstar efficiencies for 13 TeV for f = 0.5
Mass   Bstar_f0p5
1000    0.288132
1050    0.287595
1100    0.287057
1150    0.28652
1200    0.285983
1250    0.285445
1300    0.284908
1350    0.28437
1400    0.283833
1450    0.283296
1500    0.282758
1550    0.280808
1600    0.278858
1650    0.276907
1700    0.274957
1750    0.273007
1800    0.271056
1850    0.269106
1900    0.267156
1950    0.265205
2000    0.263255
2050    0.261244
2100    0.259232
2150    0.257221
2200    0.255209
2250    0.253198
2300    0.251187
2350    0.249175
2400    0.247164
2450    0.245152
2500    0.243141
2550    0.241841
2600    0.24054
2650    0.23924
2700    0.23794
2750    0.236639
2800    0.235339
2850    0.234038
2900    0.232738
2950    0.231438
3000    0.230137
3050    0.228984
3100    0.227831
3150    0.226678
3200    0.225525
3250    0.224371
3300    0.223218
3350    0.222065
3400    0.220912
3450    0.219759
3500    0.218606
3550    0.218177
3600    0.217749
3650    0.217321
3700    0.216892
3750    0.216464
3800    0.216036
3850    0.215607
3900    0.215179
3950    0.214751
4000    0.214323
4050    0.213853
4100    0.213383
4150    0.212913
4200    0.212443
4250    0.211973
4300    0.211503
4350    0.211033
4400    0.210563
4450    0.210093
4500    0.209623
4550    0.209521
4600    0.209419
4650    0.209317
4700    0.209216
4750    0.209114
4800    0.209012
4850    0.20891
4900    0.208808
4950    0.208706
5000    0.208604
