#   Bstar cross-section for 13 TeV for f = 0.5
#   (GeV)    (pb)
Mass Bstar_f0p5 Bstar_f0p5_Eff
500  2.525e-01   0.1844
600  1.096e-01   0.2058
700  5.235e-02   0.2272
800  2.745e-02   0.2485
900  1.500e-02   0.26992
1000 8.826e-03   0.291322
1100 5.268e-03   0.289524
1200 3.267e-03   0.287726
1300 2.083e-03   0.285928
1400 1.361e-03   0.28413 
1500 9.039e-04   0.282332
1600 6.167e-04   0.278623
1700 4.219e-04   0.274915
1800 2.933e-04   0.271206
1900 2.067e-04   0.267497
2000 1.474e-04   0.263789
2100 1.060e-04   0.259311
2200 7.702e-05   0.254834
2300 5.584e-05   0.250356
2400 4.089e-05   0.245878
2500 3.014e-05   0.241401
2600 2.251e-05   0.238117
2700 1.691e-05   0.234833
2800 1.265e-05   0.23155 
2900 9.445e-06   0.228266
3000 7.141e-06   0.224982
3100 5.336e-06   0.223929
3200 4.081e-06   0.222875
3300 3.118e-06   0.221822
3400 2.333e-06   0.220769
3500 1.798e-06   0.219716
3600 1.365e-06   0.218153
3700 1.039e-06   0.216591
3800 7.939e-07   0.215028
3900 6.052e-07   0.213466
4000 4.630e-07   0.211903
4100 3.556e-07   0.211339
4200 2.721e-07   0.210776
4300 2.063e-07   0.210212
4400 1.603e-07   0.209648
4500 1.212e-07   0.209084
4600 9.217e-08   0.209754
4700 7.062e-08   0.210424
4800 5.402e-08   0.211094
4900 4.085e-08   0.211764
5000 3.125e-08   0.212434
