#   Bstar cross-section for 13 TeV for f = 0.5
#   (GeV)    (pb)
Mass Bstar_f0p5 Bstar_f0p5_Eff
1000 5.438e-02   0.291322
1100 3.297e-02   0.289524
1200 2.045e-02   0.287726
1300 1.293e-02   0.285928
1400 8.470e-03   0.28413 
1500 5.666e-03   0.282332
1600 3.794e-03   0.278623
1700 2.641e-03   0.274915
1800 1.832e-03   0.271206
1900 1.283e-03   0.267497
2000 9.162e-04   0.263789
2100 6.554e-04   0.259311
2200 4.783e-04   0.254834
2300 3.483e-04   0.250356
2400 2.538e-04   0.245878
2500 1.884e-04   0.241401
2600 1.395e-04   0.238117
2700 1.033e-04   0.234833
2800 7.816e-05   0.23155 
2900 5.914e-05   0.228266
3000 4.393e-05   0.224982
3100 3.343e-05   0.223929
3200 2.528e-05   0.222875
3300 1.912e-05   0.221822
3400 1.470e-05   0.220769
3500 1.110e-05   0.219716
3600 8.554e-06   0.218153
3700 6.454e-06   0.216591
3800 4.955e-06   0.215028
3900 3.786e-06   0.213466
4000 2.909e-06   0.211903
4100 2.234e-06   0.211339
4200 1.711e-06   0.210776
4300 1.321e-06   0.210212
4400 1.005e-06   0.209648
4500 7.705e-07   0.209084
4600 5.907e-07   0.209754
4700 4.507e-07   0.210424
4800 3.448e-07   0.211094
4900 2.640e-07   0.211764
5000 2.027e-07   0.212434
