#   Bstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass   Bstar_f0p6  Bstar_f1p0_eff
1000   7.801e-02    0.215564 
1100   4.691e-02    0.208115 
1200   2.938e-02    0.200667 
1300   1.847e-02    0.193218 
1400   1.213e-02    0.18577  
1500   8.158e-03    0.178322 
1600   5.477e-03    0.171578 
1700   3.772e-03    0.164834 
1800   2.616e-03    0.158091 
1900   1.852e-03    0.151347 
2000   1.304e-03    0.144604 
2100   9.467e-04    0.1396   
2200   6.841e-04    0.134597 
2300   4.991e-04    0.129594 
2400   3.689e-04    0.124591 
2500   2.710e-04    0.119587 
2600   2.006e-04    0.117055 
2700   1.508e-04    0.114523 
2800   1.127e-04    0.111991 
2900   8.462e-05    0.109459 
3000   6.335e-05    0.106927 
3100   4.820e-05    0.104736 
3200   3.646e-05    0.102545 
3300   2.780e-05    0.100354 
3400   2.107e-05    0.0981626
3500   1.622e-05    0.0959716
3600   1.225e-05    0.0951635
3700   9.443e-06    0.0943553
3800   7.201e-06    0.0935472
3900   5.525e-06    0.0927391
4000   4.200e-06    0.0919309
4100   3.217e-06    0.0921395
4200   2.484e-06    0.092348 
4300   1.893e-06    0.0925565
4400   1.479e-06    0.092765 
4500   1.124e-06    0.0929736
4600   8.645e-07    0.0927648
4700   6.655e-07    0.092556 
4800   5.040e-07    0.0923473
4900   3.886e-07    0.0921385
5000   2.955e-07    0.0919298
