*************************************************************************
*************************************************************************

Mass    Eff
1000    0.570699
1100    0.582461
1200    0.594224
1300    0.605987
1400    0.617749
1500    0.629512
1600    0.641274
1700    0.653037
1800    0.664799
1900    0.676562
2000    0.688325
2100    0.690805
2200    0.693285
2300    0.695765
2400    0.698245
2500    0.700725
2600    0.703205
2700    0.705685
2800    0.708166
2900    0.710646
3000    0.713126
3100    0.713249
3200    0.713372
3300    0.713495
3400    0.713618
3500    0.713741
3600    0.713864
3700    0.713987
3800    0.71411
3900    0.714233
4000    0.714356
4100    0.71491
4200    0.715465
4300    0.716019
4400    0.716574
4500    0.717128
4600    0.717683
4700    0.718237
4800    0.718792
4900    0.719346
5000    0.719901
5100    0.718705
5200    0.717509
5300    0.716314
5400    0.715118
5500    0.713923
5600    0.712727
5700    0.711532
5800    0.710336
5900    0.70914
6000    0.707945

*************************************************************************

