*************************************************************************
*************************************************************************

Mass    Eff
1000    0.381341
1050    0.38355
1100    0.385759
1150    0.387968
1200    0.390176
1250    0.392385
1300    0.394594
1350    0.396803
1400    0.399012
1450    0.401221
1500    0.40343
1550    0.405639
1600    0.407848
1650    0.410057
1700    0.412266
1750    0.414475
1800    0.416684
1850    0.418893
1900    0.421102
1950    0.423311
2000    0.42552
2050    0.425497
2100    0.425474
2150    0.425452
2200    0.425429
2250    0.425407
2300    0.425384
2350    0.425361
2400    0.425339
2450    0.425316
2500    0.425294
2550    0.425271
2600    0.425248
2650    0.425226
2700    0.425203
2750    0.42518
2800    0.425158
2850    0.425135
2900    0.425113
2950    0.42509
3000    0.425067
3050    0.424856
3100    0.424645
3150    0.424434
3200    0.424223
3250    0.424012
3300    0.4238
3350    0.423589
3400    0.423378
3450    0.423167
3500    0.422956
3550    0.422745
3600    0.422534
3650    0.422322
3700    0.422111
3750    0.4219
3800    0.421689
3850    0.421478
3900    0.421267
3950    0.421056
4000    0.420844
4050    0.420667
4100    0.42049
4150    0.420313
4200    0.420135
4250    0.419958
4300    0.419781
4350    0.419604
4400    0.419427
4450    0.419249
4500    0.419072
4550    0.418895
4600    0.418718
4650    0.41854
4700    0.418363
4750    0.418186
4800    0.418009
4850    0.417832
4900    0.417654
4950    0.417477
5000    0.4173
5050    0.416134
5100    0.414967
5150    0.413801
5200    0.412635
5250    0.411469
5300    0.410303
5350    0.409137
5400    0.40797
5450    0.406804
5500    0.405638
5550    0.404472
5600    0.403306
5650    0.402139
5700    0.400973
5750    0.399807
5800    0.398641
5850    0.397475
5900    0.396308
5950    0.395142
6000    0.393976
6050    0.391202
6100    0.388429
6150    0.385655
6200    0.382882
6250    0.380108
6300    0.377335
6350    0.374561
6400    0.371787
6450    0.369014
6500    0.36624
6550    0.363467
6600    0.360693
6650    0.35792
6700    0.355146
6750    0.352372
6800    0.349599
6850    0.346825
6900    0.344052
6950    0.341278
7000    0.338505

*************************************************************************

