*************************************************************************
*************************************************************************

Mass    Eff
1000    0.505687
1100    0.515267
1200    0.524847
1300    0.534426
1400    0.544006
1500    0.553585
1600    0.563165
1700    0.572745
1800    0.582324
1900    0.591904
2000    0.601484
2100    0.604368
2200    0.607253
2300    0.610138
2400    0.613022
2500    0.615907
2600    0.618792
2700    0.621676
2800    0.624561
2900    0.627446
3000    0.63033
3100    0.631073
3200    0.631816
3300    0.63256
3400    0.633303
3500    0.634046
3600    0.634789
3700    0.635532
3800    0.636275
3900    0.637018
4000    0.637761
4100    0.638564
4200    0.639366
4300    0.640168
4400    0.64097
4500    0.641772
4600    0.642575
4700    0.643377
4800    0.644179
4900    0.644981
5000    0.645784
5100    0.644662
5200    0.643541
5300    0.64242
5400    0.641299
5500    0.640178
5600    0.639056
5700    0.637935
5800    0.636814
5900    0.635693
6000    0.634572
6100    0.632586
6200    0.630601
6300    0.628615
6400    0.62663
6500    0.624644
6600    0.622658
6700    0.620673
6800    0.618687
6900    0.616702
7000    0.614716
7100    0.613397
7200    0.612078
7300    0.610759
7400    0.609439
7500    0.60812
7600    0.606801
7700    0.605482
7800    0.604163
7900    0.602843
6.95285e-310    0.601524

*************************************************************************

