*************************************************************************
for CSVDisc_Opti/ ===>>>>> CSVL/
*************************************************************************

Mass    Eff
500    0.19333
600    0.227755
700    0.262181
800    0.296606
900    0.331031
1000    0.365456
1100    0.36523
1200    0.365005
1300    0.364779
1400    0.364553
1500    0.364327
1600    0.360981
1700    0.357635
1800    0.354289
1900    0.350942
2000    0.347596
2100    0.342038
2200    0.33648
2300    0.330922
2400    0.325363
2500    0.319805
2600    0.315335
2700    0.310865
2800    0.306395
2900    0.301925
3000    0.297455
3100    0.295604
3200    0.293754
3300    0.291903
3400    0.290052
3500    0.288201
3600    0.287146
3700    0.286091
3800    0.285036
3900    0.28398
4000    0.282925
4100    0.282289
4200    0.281653
4300    0.281017
4400    0.280381
4500    0.279745
4600    0.279399
4700    0.279052
4800    0.278706
4900    0.278359
5000    0.278013

*************************************************************************

*************************************************************************
for CSVDisc_Opti/ ===>>>>> CSVM/
*************************************************************************

Mass    Eff
500    0.137793
600    0.154629
700    0.171465
800    0.188301
900    0.205137
1000    0.221973
1100    0.214671
1200    0.207369
1300    0.200067
1400    0.192764
1500    0.185462
1600    0.178928
1700    0.172395
1800    0.165861
1900    0.159327
2000    0.152794
2100    0.147969
2200    0.143144
2300    0.13832
2400    0.133495
2500    0.12867
2600    0.125854
2700    0.123038
2800    0.120222
2900    0.117405
3000    0.114589
3100    0.112846
3200    0.111104
3300    0.109361
3400    0.107618
3500    0.105875
3600    0.105452
3700    0.105029
3800    0.104606
3900    0.104183
4000    0.103759
4100    0.10267
4200    0.101581
4300    0.100491
4400    0.0994018
4500    0.0983124
4600    0.0984852
4700    0.0986581
4800    0.0988309
4900    0.0990037
5000    0.0991766

*************************************************************************

*************************************************************************
for CSVDisc_Opti/ ===>>>>> CSVT/
*************************************************************************

Mass    Eff
500    0.0822859
600    0.0877085
700    0.0931312
800    0.0985538
900    0.103976
1000    0.109399
1100    0.102948
1200    0.0964976
1300    0.0900469
1400    0.0835962
1500    0.0771454
1600    0.0735574
1700    0.0699693
1800    0.0663812
1900    0.0627931
2000    0.0592051
2100    0.0571039
2200    0.0550028
2300    0.0529016
2400    0.0508005
2500    0.0486994
2600    0.0472042
2700    0.0457091
2800    0.044214
2900    0.0427189
3000    0.0412237
3100    0.0403721
3200    0.0395205
3300    0.0386689
3400    0.0378173
3500    0.0369657
3600    0.0365462
3700    0.0361268
3800    0.0357074
3900    0.0352879
4000    0.0348685
4100    0.0349707
4200    0.0350729
4300    0.0351751
4400    0.0352773
4500    0.0353796
4600    0.0351301
4700    0.0348807
4800    0.0346312
4900    0.0343818
5000    0.0341323

*************************************************************************

