#   Qstar cross-section for 13 TeV for f = 1.0 at interval of 50 GeV and eff for given cut
#(GeV)   (pb)
Mass  Bstar_f1p0_CSVT  Qstar_f1p0_Eff
1000   2.148e-01        0.109399 
1100   1.286e-01 	0.102948    
1200   7.982e-02 	0.0964976   
1300   5.043e-02 	0.0900469   
1400   3.314e-02   	0.0835962   
1500   2.204e-02 	0.0771454   
1600   1.501e-02 	0.0735574   
1700   1.026e-02 	0.0699693   
1800   7.191e-03 	0.0663812   
1900   5.034e-03 	0.0627931   
2000   3.585e-03 	0.0592051   
2100   2.592e-03 	0.0571039   
2200   1.865e-03 	0.0550028   
2300   1.366e-03        0.0529016   
2400   1.000e-03       	0.0508005   
2500   7.488e-04       	0.0486994   
2600   5.524e-04       	0.0472042   
2700   4.116e-04        0.0457091   
2800   3.058e-04   	0.044214    
2900   2.337e-04       	0.0427189   
3000   1.766e-04  	0.0412237   
3100   1.326e-04      	0.0403721   
3200   1.013e-04       	0.0395205   
3300   7.705e-05 	0.0386689   
3400   5.879e-05 	0.0378173   
3500   4.517e-05 	0.0369657   
3600   3.442e-05 	0.0365462   
3700   2.646e-05        0.0361268   
3800   2.011e-05  	0.0357074   
3900   1.566e-05 	0.0352879   
4000   1.202e-05 	0.0348685   
4100   9.259e-06 	0.0349707   
4200   7.101e-06 	0.0350729   
4300   5.442e-06 	0.0351751   
4400   4.238e-06 	0.0352773   
4500   3.289e-06 	0.0353796   
4600   2.545e-06 	0.0351301   
4700   1.974e-06 	0.0348807   
4800   1.528e-06 	0.0346312   
4900   1.182e-06 	0.0343818   
5000   9.216e-07 	0.0341323   
