*************************************************************************
for DEta_Opti/ ===>>>>> DEta_1.0
*************************************************************************

Mass    Eff
500    0.201585
600    0.228539
700    0.255494
800    0.282448
900    0.309403
1000    0.336357
1100    0.34128
1200    0.346203
1300    0.351126
1400    0.356049
1500    0.360972
1600    0.365895
1700    0.370818
1800    0.375741
1900    0.380664
2000    0.385587
2100    0.386547
2200    0.387506
2300    0.388466
2400    0.389425
2500    0.390385
2600    0.391344
2700    0.392304
2800    0.393263
2900    0.394223
3000    0.395182
3100    0.394444
3200    0.393705
3300    0.392966
3400    0.392228
3500    0.391489
3600    0.390751
3700    0.390012
3800    0.389274
3900    0.388535
4000    0.387796
4100    0.387912
4200    0.388028
4300    0.388144
4400    0.388259
4500    0.388375
4600    0.388491
4700    0.388607
4800    0.388722
4900    0.388838
5000    0.388954
5100    0.388241
5200    0.387529
5300    0.386816
5400    0.386104
5500    0.385392
5600    0.384679
5700    0.383967
5800    0.383254
5900    0.382542
6000    0.381829
6100    0.380081
6200    0.378333
6300    0.376585
6400    0.374836
6500    0.373088
6600    0.37134
6700    0.369592
6800    0.367843
6900    0.366095
7000    0.364347
7100    0.363482
7200    0.362618
7300    0.361753
7400    0.360888
7500    0.360024
7600    0.359159
7700    0.358294
7800    0.357429
7900    0.356565
8000    0.3557
8100    0.357475
8200    0.35925
8300    0.361025
8400    0.3628
8500    0.364575
8600    0.36635
8700    0.368125
8800    0.3699
8900    0.371674
9000    0.373449

*************************************************************************

*************************************************************************
for DEta_Opti/ ===>>>>> DEta_1.2
*************************************************************************

Mass    Eff
500    0.226704
600    0.259117
700    0.29153
800    0.323943
900    0.356356
1000    0.388769
1100    0.394427
1200    0.400086
1300    0.405744
1400    0.411402
1500    0.41706
1600    0.422719
1700    0.428377
1800    0.434035
1900    0.439693
2000    0.445352
2100    0.446472
2200    0.447593
2300    0.448714
2400    0.449834
2500    0.450955
2600    0.452076
2700    0.453196
2800    0.454317
2900    0.455438
3000    0.456558
3100    0.455812
3200    0.455065
3300    0.454318
3400    0.453572
3500    0.452825
3600    0.452079
3700    0.451332
3800    0.450585
3900    0.449839
4000    0.449092
4100    0.449362
4200    0.449631
4300    0.449901
