*************************************************************************
for JetId_Opti/ ===>>>>> JetId_Tight/
*************************************************************************

Mass    Eff
500    0.256907
600    0.305893
700    0.354879
800    0.403865
900    0.452852
1000    0.501838
1100    0.50978
1200    0.517723
1300    0.525666
1400    0.533608
1500    0.541551
1600    0.549493
1700    0.557436
1800    0.565378
1900    0.573321
2000    0.581264
2100    0.583065
2200    0.584867
2300    0.586669
2400    0.588471
2500    0.590272
2600    0.592074
2700    0.593876
2800    0.595677
2900    0.597479
3000    0.599281
3100    0.599134
3200    0.598987
3300    0.59884
3400    0.598693
3500    0.598546
3600    0.598399
3700    0.598252
3800    0.598105
3900    0.597958
4000    0.597811
4100    0.597793
4200    0.597775
4300    0.597757
4400    0.597739
4500    0.597721
4600    0.597704
4700    0.597686
4800    0.597668
4900    0.59765
5000    0.597632
5100    0.596524
5200    0.595415
5300    0.594306
5400    0.593197
5500    0.592088
5600    0.59098
5700    0.589871
5800    0.588762
5900    0.587653
6000    0.586544
6100    0.584205
6200    0.581865
6300    0.579526
6400    0.577187
6500    0.574847
6600    0.572508
6700    0.570168
6800    0.567829
6900    0.565489
7000    0.56315
7100    0.561607
7200    0.560065
7300    0.558522
7400    0.556979
7500    0.555437
7600    0.553894
7700    0.552352
7800    0.550809
7900    0.549266
8000    0.547724
8100    0.549949
8200    0.552175
8300    0.5544
8400    0.556626
8500    0.558851
8600    0.561077
8700    0.563302
8800    0.565528
8900    0.567753
9000    0.569978

*************************************************************************

*************************************************************************
for JetId_Opti/ ===>>>>> JetId_TightLepVeto/
*************************************************************************

Mass    Eff
500    0.256918
600    0.305972
700    0.355025
800    0.404079
900    0.453132
1000    0.502186
1100    0.510107
1200    0.518029
1300    0.52595
1400    0.533872
1500    0.541793
1600    0.549715
1700    0.557636
1800    0.565558
1900    0.573479
2000    0.581401
2100    0.583202
2200    0.585003
2300    0.586804
2400    0.588605
2500    0.590406
2600    0.592207
2700    0.594008
2800    0.595809
2900    0.59761
3000    0.599411
3100    0.599259
3200    0.599107
3300    0.598955
3400    0.598804
3500    0.598652
3600    0.5985
3700    0.598348
3800    0.598196
3900    0.598044
4000    0.597892
4100    0.597865
4200    0.597838
4300    0.59781
4400    0.597783
4500    0.597755
4600    0.597728
4700    0.5977
4800    0.597673
4900    0.597645
5000    0.597618
5100    0.596512
5200    0.595407
5300    0.594301
5400    0.593196
5500    0.59209
5600    0.590985
5700    0.589879
5800    0.588774
5900    0.587668
6000    0.586563
6100    0.584217
6200    0.581871
6300    0.579526
6400    0.57718
6500    0.574834
6600    0.572489
6700    0.570143
6800    0.567797
6900    0.565452
7000    0.563106
7100    0.561547
7200    0.559989
7300    0.55843
7400    0.556871
7500    0.555313
7600    0.553754
7700    0.552195
7800    0.550637
7900    0.549078
8000    0.547519
8100    0.549773
8200    0.552027
8300    0.55428
8400    0.556534
8500    0.558788
8600    0.561041
8700    0.563295
8800    0.565549
8900    0.567802
9000    0.570056

*************************************************************************

