*************************************************************************
for DEta_Opti/ ===>>>>> DEta_1.0
*************************************************************************

Mass    Eff
1000    0.330904
1100    0.335369
1200    0.339833
1300    0.344298
1400    0.348762
1500    0.353227
1600    0.357692
1700    0.362156
1800    0.366621
1900    0.371085
2000    0.37555
2100    0.376208
2200    0.376867
2300    0.377525
2400    0.378183
2500    0.378842
2600    0.3795
2700    0.380158
2800    0.380817
2900    0.381475
3000    0.382133
3100    0.381107
3200    0.380081
3300    0.379055
3400    0.378029
3500    0.377003
3600    0.375977
3700    0.374951
3800    0.373925
3900    0.372899
4000    0.371873
4100    0.372196
4200    0.372519
4300    0.372842
4400    0.373165
4500    0.373488
4600    0.37381
4700    0.374133
4800    0.374456
4900    0.374779
5000    0.375102
5100    0.374435
5200    0.373767
5300    0.3731
5400    0.372432
5500    0.371765
5600    0.371097
5700    0.37043
5800    0.369762
5900    0.369095
6000    0.368427
6100    0.36711
6200    0.365793
6300    0.364476
6400    0.363159
6500    0.361841
6600    0.360524
6700    0.359207
6800    0.35789

*************************************************************************

*************************************************************************
for DEta_Opti/ ===>>>>> DEta_1.2
*************************************************************************

Mass    Eff
1000    0.383093
1100    0.388089
1200    0.393085
1300    0.398082
1400    0.403078
1500    0.408075
1600    0.413071
1700    0.418067
1800    0.423064
1900    0.42806
2000    0.433056
2100    0.433881
2200    0.434705
2300    0.43553
2400    0.436354
2500    0.437178
2600    0.438003
2700    0.438827
2800    0.439651
2900    0.440476
3000    0.4413
3100    0.440196
3200    0.439091
3300    0.437986
3400    0.436881
3500    0.435777
3600    0.434672
3700    0.433567
3800    0.432463
3900    0.431358
4000    0.430253
4100    0.430809
4200    0.431366
4300    0.431922
4400    0.432478
4500    0.433034
4600    0.43359
4700    0.434146
4800    0.434702
4900    0.435259
5000    0.435815
5100    0.434861
5200    0.433906
5300    0.432952
5400    0.431998
5500    0.431044
5600    0.43009
5700    0.429136
5800    0.428181
5900    0.427227
6000    0.426273
6100    0.425009
6200    0.423746
6300    0.422482
6400    0.421218
6500    0.419954
6600    0.41869
6700    0.417427
6800    0.416163

*************************************************************************

*************************************************************************
for DEta_Opti/ ===>>>>> DEta_1.5
*************************************************************************

Mass    Eff
1000    0.44825
1100    0.454205
1200    0.46016
1300    0.466115
1400    0.472069
1500    0.478024
1600    0.483979
1700    0.489934
1800    0.495889
1900    0.501844
2000    0.507798
2100    0.508999
2200    0.5102
2300    0.511401
2400    0.512601
2500    0.513802
2600    0.515003
2700    0.516204
2800    0.517405
2900    0.518605
3000    0.519806
3100    0.518596
3200    0.517386
3300    0.516176
3400    0.514967
3500    0.513757
3600    0.512547
3700    0.511337
3800    0.510127
3900    0.508917
4000    0.507708
4100    0.508108
4200    0.508509
4300    0.508909
4400    0.50931
4500    0.50971
4600    0.510111
4700    0.510511
4800    0.510911
4900    0.511312
5000    0.511712
5100    0.51092
5200    0.510127
5300    0.509335
5400    0.508542
5500    0.50775
5600    0.506957
5700    0.506164
5800    0.505372
5900    0.504579
6000    0.503787
6100    0.50247
6200    0.501152
6300    0.499835
6400    0.498518
6500    0.497201
6600    0.495884
6700    0.494567
6800    0.49325

*************************************************************************

*************************************************************************
for DEta_Opti/ ===>>>>> DEta_1.8
*************************************************************************

Mass    Eff
1000    0.495034
1100    0.502106
1200    0.509177
1300    0.516249
1400    0.523321
1500    0.530392
1600    0.537464
1700    0.544535
1800    0.551607
1900    0.558679
2000    0.56575
2100    0.567204
2200    0.568658
2300    0.570112
2400    0.571566
2500    0.573019
2600    0.574473
2700    0.575927
2800    0.577381
2900    0.578835
3000    0.580288
3100    0.579527
3200    0.578765
3300    0.578004
3400    0.577242
3500    0.576481
3600    0.575719
3700    0.574958
3800    0.574196
3900    0.573435
4000    0.572673
4100    0.572971
4200    0.573268
4300    0.573566
4400    0.573863
4500    0.57416
4600    0.574458
4700    0.574755
4800    0.575053
4900    0.57535
5000    0.575648
5100    0.574895
5200    0.574143
5300    0.573391
5400    0.572639
5500    0.571886
5600    0.571134
5700    0.570382
5800    0.56963
5900    0.568877
6000    0.568125
6100    0.566503
6200    0.564882
6300    0.56326
6400    0.561639
6500    0.560017
6600    0.558396
6700    0.556774
6800    0.555153

*************************************************************************

*************************************************************************
for DEta_Opti/ ===>>>>> DEta_2.0
*************************************************************************

Mass    Eff
1000    0.519753
1100    0.527465
1200    0.535177
1300    0.54289
1400    0.550602
1500    0.558314
1600    0.566027
1700    0.573739
1800    0.581451
1900    0.589164
2000    0.596876
2100    0.598394
2200    0.599913
2300    0.601431
2400    0.602949
2500    0.604467
2600    0.605986
2700    0.607504
2800    0.609022
2900    0.610541
3000    0.612059
3100    0.61167
3200    0.611281
3300    0.610892
3400    0.610503
3500    0.610114
3600    0.609725
3700    0.609336
3800    0.608947
3900    0.608558
4000    0.608169
4100    0.608637
4200    0.609105
4300    0.609574
4400    0.610042
4500    0.61051
4600    0.610979
4700    0.611447
4800    0.611915
4900    0.612383
5000    0.612852
5100    0.611757
5200    0.610662
5300    0.609567
5400    0.608472
5500    0.607377
5600    0.606283
5700    0.605188
5800    0.604093
5900    0.602998
6000    0.601903
6100    0.600041
6200    0.598179
6300    0.596316
6400    0.594454
6500    0.592591
6600    0.590729
6700    0.588867
6800    0.587004

*************************************************************************

*************************************************************************
for DEta_Opti/ ===>>>>> DEta_2.2
*************************************************************************

Mass    Eff
1000    0.537938
1100    0.546315
1200    0.554692
1300    0.563069
1400    0.571446
1500    0.579823
1600    0.5882
1700    0.596577
1800    0.604954
1900    0.613331
2000    0.621708
2100    0.623355
2200    0.625001
2300    0.626647
2400    0.628294
2500    0.62994
2600    0.631586
2700    0.633233
2800    0.634879
2900    0.636525
3000    0.638172
3100    0.638057
3200    0.637943
3300    0.637828
3400    0.637714
3500    0.6376
3600    0.637485
3700    0.637371
3800    0.637256
3900    0.637142
4000    0.637027
4100    0.637428
4200    0.637829
4300    0.63823
4400    0.638631
4500    0.639032
4600    0.639432
4700    0.639833
4800    0.640234
4900    0.640635
5000    0.641036
5100    0.639952
5200    0.638869
5300    0.637786
5400    0.636703
5500    0.63562
5600    0.634537
5700    0.633453
5800    0.63237
5900    0.631287
6000    0.630204
6100    0.628127
6200    0.62605
6300    0.623973
6400    0.621896
6500    0.619819
6600    0.617742
6700    0.615665
6800    0.613588

*************************************************************************

*************************************************************************
