#   Qstar cross-section for 13 TeV for f = 1.0 at interval of 50 GeV and eff for given cut
#(GeV)   (pb)
Mass Qstar_f1p0_DEta_1.0  Qstar_f1p0_Eff
1000  1.635e+01            0.330904 
1100  1.068e+01  	   0.335369
1200  7.036e+00  	   0.339833
1300  4.827e+00  	   0.344298
1400  3.363e+00    	   0.348762
1500  2.373e+00  	   0.353227
1600  1.709e+00  	   0.357692
1700  1.243e+00  	   0.362156
1800  9.292e-01  	   0.366621
1900  6.885e-01  	   0.371085
2000  5.244e-01  	   0.37555 
2100  3.951e-01  	   0.376208
2200  3.010e-01  	   0.376867
2300  2.322e-01 	   0.377525
2400  1.805e-01   	   0.378183
2500  1.402e-01  	   0.378842
2600  1.099e-01  	   0.3795  
2700  8.650e-02		   0.380158
2800  6.787e-02    	   0.380817
2900  5.372e-02 	   0.381475
3000  4.273e-02   	   0.382133
3100  3.391e-02 	   0.381107
3200  2.720e-02   	   0.380081
3300  2.186e-02  	   0.379055
3400  1.744e-02  	   0.378029
3500  1.417e-02  	   0.377003
3600  1.126e-02  	   0.375977
3700  9.062e-03 	   0.374951
3800  7.276e-03   	   0.373925
3900  5.911e-03  	   0.372899
4000  4.814e-03  	   0.371873
4100  3.870e-03  	   0.372196
4200  3.156e-03  	   0.372519
4300  2.554e-03  	   0.372842
4400  2.057e-03  	   0.373165
4500  1.656e-03  	   0.373488
4600  1.354e-03  	   0.37381 
4700  1.089e-03  	   0.374133
4800  8.813e-04  	   0.374456
4900  7.214e-04  	   0.374779
5000  5.836e-04  	   0.375102
5100  4.734e-04  	   0.374435
5200  3.807e-04  	   0.373767
5300  3.108e-04  	   0.3731  
5400  2.517e-04  	   0.372432
5500  2.051e-04 	   0.371765
5600  1.650e-04 	   0.371097
5700  1.339e-04            0.37043
5800  1.072e-04            0.369762 
5900  8.685e-05            0.369095
6000  7.085e-05            0.368427
