#   Qstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass   Qstar_f0p1   Qstar_f0p1_Eff
1000 1.655e-01    0.396028
1100 1.057e-01    0.401552
1200 7.134e-02    0.407076
1300 4.932e-02    0.412599
1400 3.421e-02    0.418123
1500 2.440e-02    0.423647
1600 1.750e-02    0.42917 
1700 1.284e-02    0.434694
1800 9.433e-03    0.440217
1900 7.075e-03    0.445741
2000 5.298e-03    0.451265
2100 4.025e-03    0.452326
2200 3.107e-03    0.453387
2300 2.374e-03    0.454448
2400 1.861e-03    0.45551 
2500 1.431e-03    0.456571
2600 1.130e-03    0.457632
2700 8.902e-04    0.458693
2800 7.051e-04    0.459754
2900 5.527e-04    0.460816
3000 4.363e-04    0.461877
3100 3.511e-04    0.461852
3200 2.784e-04    0.461826
3300 2.232e-04    0.461801
3400 1.791e-04    0.461776
3500 1.435e-04    0.461751
3600 1.148e-04    0.461726
3700 9.267e-05    0.461701
3800 7.459e-05    0.461675
3900 6.014e-05    0.46165 
4000 4.852e-05    0.461625
4100 3.902e-05    0.461944
4200 3.157e-05    0.462262
4300 2.536e-05    0.462581
4400 2.058e-05    0.4629  
4500 1.677e-05    0.463218
4600 1.344e-05    0.463537
4700 1.087e-05    0.463856
4800 8.690e-06    0.464175
4900 7.102e-06    0.464493
5000 5.739e-06    0.464812
5100 4.582e-06    0.464036
5200 3.664e-06    0.46326 
5300 2.983e-06    0.462484
5400 2.377e-06    0.461708
5500 1.920e-06    0.460932
6000 6.241e-07    0.457052
7000 5.973e-08    0.43313
