#   Qstar efficiencies for 13 TeV for f = 0.5
Mass   Qstar_f0p5
1000    0.397353
1050    0.400018
1100    0.402683
1150    0.405347
1200    0.408012
1250    0.410677
1300    0.413342
1350    0.416007
1400    0.418672
1450    0.421337
1500    0.424002
1550    0.426667
1600    0.429332
1650    0.431997
1700    0.434662
1750    0.437326
1800    0.439991
1850    0.442656
1900    0.445321
1950    0.447986
2000    0.450651
2050    0.451253
2100    0.451855
2150    0.452458
2200    0.45306
2250    0.453662
2300    0.454264
2350    0.454866
2400    0.455468
2450    0.456071
2500    0.456673
2550    0.457275
2600    0.457877
2650    0.458479
2700    0.459081
2750    0.459684
2800    0.460286
2850    0.460888
2900    0.46149
2950    0.462092
3000    0.462695
3050    0.462821
3100    0.462947
3150    0.463074
3200    0.4632
3250    0.463327
3300    0.463453
3350    0.463579
3400    0.463706
3450    0.463832
3500    0.463958
3550    0.464085
3600    0.464211
3650    0.464338
3700    0.464464
3750    0.46459
3800    0.464717
3850    0.464843
3900    0.46497
3950    0.465096
4000    0.465222
4050    0.465376
4100    0.465529
4150    0.465683
4200    0.465836
4250    0.46599
4300    0.466143
4350    0.466297
4400    0.46645
4450    0.466604
4500    0.466757
4550    0.466911
4600    0.467064
4650    0.467218
4700    0.467371
4750    0.467525
4800    0.467678
4850    0.467832
4900    0.467985
4950    0.468139
5000    0.468292
5050    0.467784
5100    0.467277
5150    0.466769
5200    0.466261
5250    0.465753
5300    0.465246
5350    0.464738
5400    0.46423
5450    0.463722
5500    0.463214
5550    0.462707
5600    0.462199
5650    0.461691
5700    0.461183
5750    0.460675
5800    0.460168
5850    0.45966
5900    0.459152
5950    0.458644
6000    0.458136
6050    0.456756
6100    0.455375
6150    0.453995
6200    0.452614
6250    0.451234
6300    0.449853
6350    0.448473
6400    0.447092
6450    0.445712
6500    0.444331
6550    0.442951
6600    0.44157
6650    0.440189
6700    0.438809
6750    0.437428
6800    0.436048
6850    0.434667
6900    0.433287
