#   Qstar cross-section for 13 TeV for f = 0.9
#   (GeV)    (pb)
Mass   Qstar_f1p0  Qstar_f1p0_Eff
1000 1.324e+01      0.397222
1100 8.468e+00      0.402547
1200 5.714e+00      0.407871
1300 3.892e+00      0.413196
1400 2.730e+00      0.41852 
1500 1.929e+00      0.423845
1600 1.397e+00      0.429169
1700 1.018e+00      0.434494
1800 7.498e-01      0.439818
1900 5.616e-01      0.445143
2000 4.202e-01      0.450467
2100 3.205e-01      0.45171 
2200 2.450e-01      0.452952
2300 1.894e-01      0.454195
2400 1.462e-01      0.455437
2500 1.146e-01      0.45668 
2600 8.950e-02      0.457922
2700 6.994e-02      0.459165
2800 5.557e-02      0.460407
2900 4.399e-02      0.46165 
3000 3.461e-02      0.462892
3100 2.783e-02      0.462899
3200 2.219e-02      0.462905
3300 1.795e-02      0.462911
3400 1.416e-02      0.462918
3500 1.137e-02      0.462924
3600 9.077e-03      0.462931
3700 7.411e-03      0.462937
3800 5.976e-03      0.462943
3900 4.825e-03      0.46295 
4000 3.845e-03      0.462956
4100 3.131e-03      0.4632  
4200 2.545e-03      0.463444
4300 2.051e-03      0.463687
4400 1.667e-03      0.463931
4500 1.354e-03      0.464175
4600 1.096e-03      0.464419
4700 8.852e-04      0.464662
4800 7.141e-04      0.464906
4900 5.826e-04      0.46515 
5000 4.664e-04      0.465394
