#   Qstar efficiencies for 13 TeV for f = 1.0
Mass   Qstar_f1p0 
1000    0.397222
1050    0.399885
1100    0.402547
1150    0.405209
1200    0.407871
1250    0.410533
1300    0.413196
1350    0.415858
1400    0.41852
1450    0.421182
1500    0.423845
1550    0.426507
1600    0.429169
1650    0.431831
1700    0.434494
1750    0.437156
1800    0.439818
1850    0.44248
1900    0.445143
1950    0.447805
2000    0.450467
2050    0.451088
2100    0.45171
2150    0.452331
2200    0.452952
2250    0.453573
2300    0.454195
2350    0.454816
2400    0.455437
2450    0.456058
2500    0.45668
2550    0.457301
2600    0.457922
2650    0.458543
2700    0.459165
2750    0.459786
2800    0.460407
2850    0.461029
2900    0.46165
2950    0.462271
3000    0.462892
3050    0.462896
3100    0.462899
3150    0.462902
3200    0.462905
3250    0.462908
3300    0.462911
3350    0.462915
3400    0.462918
3450    0.462921
3500    0.462924
3550    0.462927
3600    0.462931
3650    0.462934
3700    0.462937
3750    0.46294
3800    0.462943
3850    0.462946
3900    0.46295
3950    0.462953
4000    0.462956
4050    0.463078
4100    0.4632
4150    0.463322
4200    0.463444
4250    0.463565
4300    0.463687
4350    0.463809
4400    0.463931
4450    0.464053
4500    0.464175
4550    0.464297
4600    0.464419
4650    0.46454
4700    0.464662
4750    0.464784
4800    0.464906
4850    0.465028
4900    0.46515
4950    0.465272
5000    0.465394
5050    0.464842
5100    0.464291
5150    0.46374
5200    0.463189
5250    0.462637
5300    0.462086
5350    0.461535
5400    0.460984
5450    0.460432
5500    0.459881
5550    0.45933
5600    0.458779
5650    0.458227
5700    0.457676
5750    0.457125
5800    0.456574
5850    0.456022
5900    0.455471
5950    0.45492
6000    0.454369
6050    0.453742
6100    0.453116
6150    0.45249
6200    0.451864
6250    0.451238
6300    0.450612
6350    0.449986
6400    0.44936
6450    0.448734
6500    0.448108
6550    0.447482
6600    0.446856
6650    0.44623
6700    0.445604
6750    0.444977
6800    0.444351
6850    0.443725
6900    0.443099
