#   Qstar efficiencies for 13 TeV for f = 1.0
Mass   Qstar_f1p0 
1000    0.357246
1050    0.359533
1100    0.36182
1150    0.364106
1200    0.366393
1250    0.36868
1300    0.370967
1350    0.373254
1400    0.375541
1450    0.377828
1500    0.380115
1550    0.382401
1600    0.384688
1650    0.386975
1700    0.389262
1750    0.391549
1800    0.393836
1850    0.396123
1900    0.39841
1950    0.400697
2000    0.402983
2050    0.403041
2100    0.403099
2150    0.403157
2200    0.403215
2250    0.403273
2300    0.403331
2350    0.403389
2400    0.403447
2450    0.403504
2500    0.403562
2550    0.40362
2600    0.403678
2650    0.403736
2700    0.403794
2750    0.403852
2800    0.40391
2850    0.403968
2900    0.404025
2950    0.404083
3000    0.404141
3050    0.404166
3100    0.404191
3150    0.404216
3200    0.404242
3250    0.404267
3300    0.404292
3350    0.404317
3400    0.404342
3450    0.404367
3500    0.404392
3550    0.404417
3600    0.404442
3650    0.404467
3700    0.404492
3750    0.404518
3800    0.404543
3850    0.404568
3900    0.404593
3950    0.404618
4000    0.404643
4050    0.404289
4100    0.403935
4150    0.403581
4200    0.403227
4250    0.402873
4300    0.402519
4350    0.402166
4400    0.401812
4450    0.401458
4500    0.401104
4550    0.40075
4600    0.400396
4650    0.400042
4700    0.399688
4750    0.399334
4800    0.39898
4850    0.398627
4900    0.398273
4950    0.397919
5000    0.397565
5050    0.396345
5100    0.395126
5150    0.393906
5200    0.392686
5250    0.391467
5300    0.390247
5350    0.389028
5400    0.387808
5450    0.386588
5500    0.385369
5550    0.384149
5600    0.38293
5650    0.38171
5700    0.38049
5750    0.379271
5800    0.378051
5850    0.376832
5900    0.375612
5950    0.374392
6000    0.373173
6050    0.370265
6100    0.367358
6150    0.36445
6200    0.361543
6250    0.358635
6300    0.355728
6350    0.352821
6400    0.349913
6450    0.347006
6500    0.344098
6550    0.341191
6600    0.338283
6650    0.335376
6700    0.332468
6750    0.329561
6800    0.326653
6850    0.323746
